OBJECTID,ORIG_NUM,CAM_NUM,X_COORD,Y_COORD,Latitude,Longitude,LOCATION,CCTV_SCHEME,Done
1115,EA63,63,260470,664418,55.85271,-4.2304566,Corner Of Stevenson St and Tobago St,East End,
845,EA64,64,260257,664503,55.853411,-4.2339001,Junction Claythorn Park / Stevenson Street,East End,
844,EA65,65,260323,664656,55.854804,-4.2329255,Claythorn Street / Millroad Street,East End,
1039,EA66,66,261610,663172,55.841852,-4.2116257,Springfield Road at Sunnybank Street,,
1075,EA67,67,260192,664716,55.855305,-4.2350473,Gallowgate at Bain Street,East End,
843,EA68,68,260516,664773,55.855911,-4.2299051,Junction Gallowgate / Melbourne Street,East End,
1199,EA69,69,260863,665013,55.858166,-4.2244894,Duke Street at Bellgrove Street,East End,
842,EA70,70,261190,665039,55.858493,-4.2192829,Junction Duke Street / Whitehill Street,East End,
904,EA71,71,261536,665024,55.858458,-4.2137519,Duke Street at Millerston Street,East End,
901,EA72,72,260981,664883,55.857033,-4.2225391,Sword Street at Reidvale Street,East End,
1114,EA73,73,260955,664797,55.856253,-4.2229101,Top Of Sword Street,East End,
841,EA74,74,261098,664703,55.85545,-4.2205793,Corner Of Comelypark Street,East End,
903,EA75,75,261369,664725,55.855726,-4.2162649,Whitevale Multi South,East End,
902,EA76,76,261380,664746,55.855917,-4.2161,Whitevale Multi North,East End,
1256,EA77,77,261431,665739,55.864847,-4.2157936,Armadale Path at Meadowpark Street,,
906,EA78,78,261525,665575,55.863402,-4.214209,Alexander Parade at Meadowpark Street,East End,
1112,EA79,79,261548,665881,55.866156,-4.2139982,Next To 43 Viewpark Avenue,East End,
907,EA80,80,261779,665515,55.862936,-4.2101233,Alexander Parade at Train Station,East End,
908,EA81,81,261915,665367,55.861646,-4.2078766,Walter Street at Appin Street,East End,
733,EA82,82,262256,665304,55.861178,-4.2024007,Walter Street at Aberfoyle Street,East End,
905,EA83,83,261728,664481,55.853638,-4.2104101,Gallowgate at Retail Park,East End,
734,EA84,84,261636,664151,55.850649,-4.2117101,Stamford Street at Law Street,East End,
1023,EA84,84,261844,665643,55.864104,-4.2091508,Alexandra Park,,
1261,EA85,85,261500,664041,55.849622,-4.2138245,Barrowfield Street at Frazer Street,East End,
735,EA86,86,261581,663704,55.84662,-4.2123598,Nuneaton Street,East End,
1027,EA87,87,260943,663736,55.846724,-4.2225576,Queen Mary Street at Dalmarnock Road,,
1028,EA88,88,261008,663920,55.848394,-4.2216146,Heron Street at Baltic Place,,
1043,EA89,89,260996,663992,55.849037,-4.221843,London Road at Heron Street,,
1029,EA90,90,261095,663762,55.847001,-4.2201452,112 Baltic Street MSF,,
739,EB100,100,263006,664050,55.850133,-4.1897937,Pharonhill Street at Quarrybrae,East End,
1113,EB101,101,262432,663972,55.84927,-4.1989151,38 Dechmont Street,East End,
741,EB102,102,262527,664181,55.851173,-4.1975049,Parkhead Cross,East End,
740,EB103,103,262748,664230,55.851676,-4.1940024,Westmuir Street at Sorby Street,East End,
742,EB104,104,263401,664339,55.85284,-4.183635,Old Shettleston Road at Shettleston Road,East End,
1111,EB105,105,263022,664830,55.857141,-4.1899323,Junction Of Moorfoot Street / Rigby Street,East End,
1170,EB106,106,263025,665142,55.859943,-4.1900421,Junction Of Glencorse Street / Carntyne Road,East End,
743,EB107,107,263983,664305,55.852699,-4.1743285,Darleith Street at Denbeck Street,East End,
744,EB108,108,264068,664201,55.85179,-4.1729197,Shettleston Road at Kenmore Street,East End,
745,EB109,109,264136,664125,55.851127,-4.1717962,South Vesalius Street at Pettigrew Street,East End,
1074,EB110,110,263253,664193,55.851487,-4.1859236,Caroline Street at Quarryknowe Street,East End,
746,EB117,117,263850,663366,55.844231,-4.17598,Tollcross Road at Wellshot Road,East End,
747,EB118,118,263788,663210,55.842813,-4.1768911,Braidfauld Street at Dunira Street,East End,
810,EB132,132,265897,665043,55.859862,-4.1441432,Calvay Crescent,Easterhouse,
808,EB134,134,266608,664956,55.859278,-4.1327496,Edinburgh Road opposite Altmore Road,Easterhouse,
811,EB136,136,266716,664523,55.85542,-4.1308126,Pendeen Road at Garlieston Road,Easterhouse,
1151,EB137,137,266585,664843,55.858257,-4.1330612,Hallhill Road at Burnmouth Road,Easterhouse,
1117,EB154,154,267800,663897,55.850098,-4.1132035,"Scott Street/Main Street, Baillieston",Easterhouse,
1116,EB155,155,267998,663919,55.85035,-4.110054,"Main Street, Baillieston",Easterhouse,
1260,EB50,50,263198,664292,55.852361,-4.1868514,Westmuir Street opposite Beardmore Park,,
1154,EB51,51,263382,663196,55.842573,-4.1833626,On Ground at Potter Path,,
1101,EB86,86,263527,663605,55.846286,-4.1812546,Tollcross Park,,
909,EB87,87,263435,663746,55.847526,-4.1827937,Tollcross Park,,
910,EB88,88,263363,663867,55.848592,-4.1840037,Tollcross Park,,
911,EB89,89,263523,663985,55.849696,-4.1815096,Tollcross Park,,
912,EB90,90,263703,663942,55.849361,-4.1786152,Tollcross Park,,
1041,EB91,91,262653,664276,55.852062,-4.195542,Salamanca Street at Parkhead Hospital,,
736,EB92,92,262222,663805,55.84771,-4.2021818,Springfield Cross,East End,
737,EB93,93,262393,663792,55.847642,-4.1994462,Helenvale Multi,East End,
738,EB94,94,262588,663565,55.84566,-4.1962192,London Road at Canmore Street,East End,
1076,EB96,96,262810,663487,55.845023,-4.1926371,Glen Isla Street at Methven Street,East End,
1077,EB97,97,263069,663391,55.844235,-4.1884555,Maukinfauld Street at Rattray Street,East End,
847,EB98,98,262927,663932,55.849051,-4.1909949,Junction Crail Street /  Tollcross Road,East End,
1040,EB99,99,262798,664117,55.850676,-4.1931472,Powfoot Street at Beatock Street,,
1175,EC21,21,260561,666303,55.86966,-4.229974,Royston Road at Gadshill Street,Glasgow North,
1176,EC22,22,260739,666357,55.870196,-4.2271595,Royston Road at Provanhill Street,Glasgow North,
1177,EC23,23,261019,666416,55.870807,-4.2227188,Royston Road at Brodick Street,Glasgow North,
1178,EC24,24,260904,666533,55.871824,-4.2246152,Charles Street at Garnock Street,Glasgow North,
1179,EC25,25,261140,666339,55.87015,-4.2207472,Roystonhill at Dunolly Street,Glasgow North,
1180,EC26,26,260813,666164,55.868485,-4.2258787,Roystonhill at Thrasis Street,Glasgow North,
1183,EC27,27,260914,666041,55.86741,-4.2242029,Rosemount Street Mutli No40,Glasgow North,
1184,EC28,28,261296,666231,55.869226,-4.2182009,Cloverbank Street at Sandmill Street,Glasgow North,
1181,EC29,29,260577,666019,55.867115,-4.2295724,James Nisbet Street,Glasgow North,
1182,EC30,30,260476,665980,55.866736,-4.2311649,7 James Nisbet Street,Glasgow North,
